File: stress_test
Build ID: 498919aff001d8366249403a2544fba2d833084f
Type: cpu
Time: 2026-09-22 01:13:11 CEST
Duration: 184.29s, Total samples = 294.71s (159.91%)
Showing nodes accounting for 190.96s, 64.80% of 294.71s total
Dropped 1742 nodes (cum <= 1.47s)
      flat  flat%   sum%        cum   cum%
     0.09s 0.031% 63.62%     65.54s 22.24%  fdb.dev/pkg/recordlayer/query/executor.executeInsert
     0.09s 0.031% 63.65%      3.29s  1.12%  fdb.dev/pkg/recordlayer/query/executor.executeScanWithRowLayout.storedRecordToQueryResult.func3
     0.09s 0.031% 63.68%     11.22s  3.81%  fdb.dev/pkg/relational/core/parser/gen.(*RelationalParser).ExpressionWithOptionalName
     0.09s 0.031% 63.71%      2.32s  0.79%  github.com/antlr4-go/antlr/v4.(*BaseLexer).safeMatch
     0.09s 0.031% 63.74%      2.72s  0.92%  runtime.closechan.goready.func1
     0.08s 0.027% 63.77%     21.40s  7.26%  bufio.(*Writer).Flush
     0.08s 0.027% 63.79%      2.93s  0.99%  bytes.Compare (inline)
     0.08s 0.027% 63.82%      4.07s  1.38%  context.(*afterFuncCtx).cancel
     0.08s 0.027% 63.85%     13.68s  4.64%  fdb.dev/pkg/fdbgo/client.(*Transaction).commitAdmitted
     0.08s 0.027% 63.88%      1.99s  0.68%  fdb.dev/pkg/fdbgo/client.buildCommitInputRequest
     0.08s 0.027% 63.90%      1.79s  0.61%  fdb.dev/pkg/fdbgo/transport.(*writeCompletion).complete (inline)
     0.08s 0.027% 63.93%      2.38s  0.81%  fdb.dev/pkg/recordlayer.(*standardIndexMaintainer).insertInt64Entry
     0.08s 0.027% 63.96%      5.66s  1.92%  google.golang.org/protobuf/proto.UnmarshalOptions.unmarshal
     0.08s 0.027% 63.98%     21.39s  7.26%  internal/poll.(*FD).Write
     0.08s 0.027% 64.01%      5.67s  1.92%  runtime.ready
     0.07s 0.024% 64.04%      3.26s  1.11%  fdb.dev/pkg/fdbgo/client.(*Transaction).Atomic
     0.07s 0.024% 64.06%      3.44s  1.17%  fdb.dev/pkg/fdbgo/client.(*Transaction).Set
     0.07s 0.024% 64.08%      4.10s  1.39%  fdb.dev/pkg/fdbgo/client.coalesceWriteConflicts
     0.07s 0.024% 64.11%      3.53s  1.20%  fdb.dev/pkg/recordlayer/query/executor.(*filterResultCursor).OnNext
     0.07s 0.024% 64.13%      1.76s   0.6%  fdb.dev/pkg/relational/core/parser/gen.(*RelationalParser).DecimalLiteral
     0.07s 0.024% 64.15%      4.55s  1.54%  github.com/antlr4-go/antlr/v4.(*BaseParser).Match
     0.07s 0.024% 64.18%     10.30s  3.49%  net.(*conn).Read
     0.07s 0.024% 64.20%     21.52s  7.30%  net.(*netFD).Write
     0.06s  0.02% 64.22%      3.32s  1.13%  fdb.dev/pkg/fdbgo/fdb.Transaction.AddBytes
     0.06s  0.02% 64.24%      2.70s  0.92%  fdb.dev/pkg/fdbgo/transport.(*Conn).FlushContext
     0.06s  0.02% 64.26%     11.23s  3.81%  fdb.dev/pkg/fdbgo/transport.(*FrameReader).Read
     0.06s  0.02% 64.28%     83.33s 28.28%  fdb.dev/pkg/relational/core/embedded.(*paginatingRows).fetchPage.func1
     0.06s  0.02% 64.30%     10.23s  3.47%  net.(*netFD).Read
     0.06s  0.02% 64.32%      3.10s  1.05%  runtime.send.goready.func1
     0.06s  0.02% 64.34%      6.77s  2.30%  sort.pdqsort_func
     0.06s  0.02% 64.36%      8.99s  3.05%  syscall.read
     0.05s 0.017% 64.38%     11.81s  4.01%  fdb.dev/pkg/fdbgo/fdb.(*pendingFutureByteSlice).Get
     0.05s 0.017% 64.40%     16.83s  5.71%  fdb.dev/pkg/fdbgo/fdb.Transaction.GetReadVersion.func1
     0.05s 0.017% 64.42%     25.96s  8.81%  fdb.dev/pkg/recordlayer.(*FDBRecordStore).updateSecondaryIndexes
     0.05s 0.017% 64.43%      4.81s  1.63%  fdb.dev/pkg/recordlayer/query/executor.FromStoredRecord
     0.05s 0.017% 64.45%      6.26s  2.12%  fmt.Fprintf
     0.05s 0.017% 64.47%     21.57s  7.32%  net.(*conn).Write
     0.05s 0.017% 64.48%      3.16s  1.07%  runtime.chansend1
     0.05s 0.017% 64.50%     12.47s  4.23%  runtime.mPark (inline)
     0.05s 0.017% 64.52%      4.95s  1.68%  runtime.newproc.func1
     0.05s 0.017% 64.53%      7.26s  2.46%  sort.Slice
     0.05s 0.017% 64.55%      1.59s  0.54%  sync.(*Mutex).Unlock (partial-inline)
     0.05s 0.017% 64.57%     21.04s  7.14%  syscall.write
     0.04s 0.014% 64.58%      4.35s  1.48%  google.golang.org/protobuf/proto.MarshalOptions.marshal
     0.03s  0.01% 64.59%      2.66s   0.9%  fdb.dev/pkg/fdbgo/client.(*PendingGet).resolveReply
     0.03s  0.01% 64.60%      1.75s  0.59%  fdb.dev/pkg/recordlayer.(*countMutation).applyMutation
     0.03s  0.01% 64.61%      1.55s  0.53%  fdb.dev/pkg/relational/core/query/expr.(*Resolver).walkAtomInner
     0.03s  0.01% 64.62%      1.50s  0.51%  fdb.dev/pkg/relational/core/query/expr.(*Resolver).walkConstant
     0.03s  0.01% 64.63%      1.94s  0.66%  fdb.dev/pkg/relational/core/query/expr.(*Resolver).walkExpressionInner
     0.03s  0.01% 64.64%      4.29s  1.46%  github.com/antlr4-go/antlr/v4.(*CommonTokenStream).Consume
     0.03s  0.01% 64.65%      2.20s  0.75%  google.golang.org/protobuf/proto.checkInitialized
     0.03s  0.01% 64.66%     10.56s  3.58%  io.ReadFull (inline)
     0.03s  0.01% 64.67%    106.20s 36.04%  pkg/relational/sqldriver/stress/stress_test_test.(*stressHarness).bulkInsert.func1.1 (inline)
     0.03s  0.01% 64.68%      1.85s  0.63%  runtime.mapdelete
     0.03s  0.01% 64.69%      2.45s  0.83%  runtime.resetspinning
     0.03s  0.01% 64.70%      8.34s  2.83%  runtime.startm
     0.03s  0.01% 64.71%      1.58s  0.54%  runtime.unlock (inline)
     0.02s 0.0068% 64.72%      7.09s  2.41%  fdb.dev/pkg/recordlayer.(*FDBRecordStore).shouldMaintainIndex (inline)
     0.02s 0.0068% 64.73%     23.13s  7.85%  fdb.dev/pkg/relational/core/embedded.(*cascadesGenerator).planDML
     0.02s 0.0068% 64.73%      4.40s  1.49%  google.golang.org/protobuf/proto.MarshalOptions.Marshal
     0.02s 0.0068% 64.74%      5.68s  1.93%  google.golang.org/protobuf/proto.Unmarshal
     0.02s 0.0068% 64.75%      1.59s  0.54%  reflect.typedmemmove (inline)
     0.02s 0.0068% 64.76%      2.85s  0.97%  runtime.goexit0
     0.02s 0.0068% 64.76%      5.91s  2.01%  runtime.goready (inline)
     0.02s 0.0068% 64.77%      2.23s  0.76%  runtime.lock (inline)
     0.02s 0.0068% 64.78%     21.06s  7.15%  syscall.Write (inline)
     0.01s 0.0034% 64.78%    123.19s 41.80%  database/sql.withLock
     0.01s 0.0034% 64.78%      3.61s  1.22%  fdb.dev/pkg/recordlayer/query/plan/cascades.(*MatchLeafRule).OnMatch
     0.01s 0.0034% 64.79%      7.10s  2.41%  fdb.dev/pkg/recordlayer/query/plan/cascades.prepareReferenceMemberBatch
     0.01s 0.0034% 64.79%      2.10s  0.71%  fdb.dev/pkg/relational/core/embedded.parseRecordField
     0.01s 0.0034% 64.79%     30.37s 10.31%  internal/poll.ignoringEINTRIO (inline)
     0.01s 0.0034% 64.80%      1.55s  0.53%  runtime.unlockWithRank (inline)
         0     0% 64.80%     17.28s  5.86%  database/sql.(*DB).QueryContext
         0     0% 64.80%     17.28s  5.86%  database/sql.(*DB).QueryContext.func1
         0     0% 64.80%      2.57s  0.87%  database/sql.(*DB).QueryRowContext (inline)
         0     0% 64.80%    105.73s 35.88%  database/sql.(*DB).execDC
         0     0% 64.80%    105.73s 35.88%  database/sql.(*DB).execDC.func2
         0     0% 64.80%     17.28s  5.86%  database/sql.(*DB).query
         0     0% 64.80%     17.28s  5.86%  database/sql.(*DB).queryDC
         0     0% 64.80%     17.28s  5.86%  database/sql.(*DB).queryDC.func1
         0     0% 64.80%     17.31s  5.87%  database/sql.(*DB).retry
         0     0% 64.80%    105.71s 35.87%  database/sql.(*Tx).ExecContext
         0     0% 64.80%    105.73s 35.88%  database/sql.ctxDriverExec
         0     0% 64.80%     17.28s  5.86%  database/sql.ctxDriverQuery
         0     0% 64.80%     17.19s  5.83%  fdb.dev/pkg/fdbgo/client.(*Database).Transact
         0     0% 64.80%     13.68s  4.64%  fdb.dev/pkg/fdbgo/client.(*PendingCommit).Resolve
         0     0% 64.80%     13.68s  4.64%  fdb.dev/pkg/fdbgo/client.(*PendingCommit).Resolve.func1
